Episode,Gabby Pascuzzi,Dan Rengering,Jessica Peet,Elizabeth Olson,Christian Hubicki,Carl Boudreaux,Alison Raybould,Angelina Keeley,John Hennigan,Davie Rickenbacker,Nick Wilson,Lyrsa Torres,Kara Kay,Bi Nguyen,Jeremy Crawford,Mike White,Natalia Azoqa,Natalie Cole,Alec Merlino
Premiere,4.19,3.63,3.47,3.28,3.23,3.09,3.02,2.87,2.76,2.71,2.7,2.62,2.58,2.18,2.09,2.01,1.96,1.55,1.31
Episode 2,3.6,2.38,,3.88,3.72,2.35,2.05,2.62,2.77,3.37,3.62,2.63,3.04,1.61,2.7,2.16,1.94,1.35,1.29
Episode 3,3.0,1.94,,3.02,3.65,2.82,1.66,3.17,3.51,3.18,3.94,1.91,3.22,1.55,,2.31,1.55,1.46,1.09
Episode 4,2.74,1.84,,3.27,3.82,2.91,1.09,3.11,3.85,3.82,3.81,1.38,3.12,,,2.16,,1.28,1.32
Episode 5,2.82,2.4,,3.05,3.71,2.1,1.21,2.71,3.68,3.29,3.9,1.69,3.53,,,2.35,,,1.27
Episode 6,2.93,1.88,,2.33,3.93,1.67,1.33,2.11,3.39,2.81,3.63,,4.19,,,2.39,,,1.11
Merge,3.71,1.76,,,3.72,1.52,1.94,1.85,2.77,1.54,3.73,,3.97,,,2.49,,,1.58
Episode 8,3.34,1.42,,,3.42,1.4,1.67,1.74,,2.36,4.31,,3.56,,,2.41,,,1.64
Episode 9,3.14,,,,3.43,1.38,1.72,2.28,,2.35,4.33,,4.13,,,1.8,,,1.65
Episode 10 and 11,2.8,,,,3.92,,1.65,2.04,,2.14,4.04,,3.73,,,1.67,,,
Episode 12,,,,,3.79,,1.44,2.32,,2.72,3.99,,2.89,,,1.66,,,
Episode 13,,,,,,,1.45,1.96,,3.0,4.21,,2.94,,,2.19,,,
Finale,,,,,,,,,,,,,,,,,,,
