Episode,Eric,Gavin,Keith,Lauren,Joe,Kelley,Rick,Aubry,David,Wardog,Ron,Julie,Victoria,Aurora,Wendy,Chris,Julia,Reem
Premiere,3.61,3.59,3.32,3.31,3.14,3.13,3.11,3.02,2.9,2.88,2.8,2.66,2.33,2.3,2.12,1.53,1.35,1.19
Episode 2,3.78,3.76,1.2,3.33,2.3,2.6,3.42,1.95,3.49,3.25,2.51,3.16,2.58,2.13,2.22,1.79,1.15,1.26
Episode 3,3.22,3.25,1.19,2.7,2.1,2.73,3.69,2.83,3.28,3.04,1.74,2.86,2.74,1.45,1.71,1.37,1.1,1.34
Episode 4,3.16,2.44,1.1,3.67,1.88,2.86,2.12,3.51,2.67,3.44,2.02,2.91,2.95,1.23,1.71,2.12,1.02,1.3
Episode 5 and 6,3.52,1.74,1.16,4.06,2.22,3.14,2.2,2.12,3.07,2.19,1.8,2.42,3.54,1.01,1.23,1.61,1.1,1.12
Episode 7,2.5,1.74,,3.6,1.43,2.68,3.41,1.99,2.55,1.7,1.76,3.61,3.32,1.01,,1.54,1.07,1.04
Episode 8,1.54,1.75,,4.14,1.57,3.09,2.56,2.5,3.08,2.65,1.42,3.03,3.06,1.18,,1.31,1.3,1.14
Episode 9,1.99,1.82,,3.64,1.46,3.34,3.24,2.12,3.72,3.08,1.39,2.46,2.82,1.02,,1.16,1.03,1.09
Episode 11,1.51,2.04,,4.05,1.2,2.09,3.59,1.65,2.05,1.65,2.3,3.28,2.32,1.46,,1.07,1.02,1.3
Episode 12,1.4,2.19,,3.97,1.2,1.57,3.9,1.52,1.72,1.42,1.23,2.72,2.97,1.61,,1.08,1.01,1.35
Episode 13,1.46,2.06,,3.92,1.17,1.38,4.35,1.42,1.73,1.22,1.1,2.1,2.58,1.44,,1.39,1.14,1.48
Finale,,,,,,,,,,,,,,,,,,
