Episode,Kellyn,Wendell,Stephanie,Michael,Domenick,Brendan,James,Donathan,Chris,Jenna,Libby,Sebastian,Laurel,Angela,Desiree,Bradley,Chelsea
Premiere,,,,,,,,,,,,,,,,,
Episode 3,3.82,3.63,3.59,3.49,3.3,3.25,3.23,2.68,2.68,2.22,2.17,1.84,1.68,1.45,1.34,1.08,1.07
Episode 4,4.03,3.3,3.45,3.68,3.55,,2.49,2.71,2.45,1.72,1.71,2.07,2.52,1.43,1.3,1.23,1.17
Episode 5,3.57,2.71,,4.11,3.97,,2.06,3.06,2.9,1.82,1.18,1.96,2.43,1.11,1.37,1.53,1.1
Episode 6,3.16,3.38,,3.93,4.02,,,3.01,2.15,2.08,1.3,2.1,2.98,1.36,1.44,1.37,1.22
Episode 7,2.99,4.5,,3.45,3.99,,,2.66,1.72,1.41,1.17,1.54,2.28,1.07,1.33,,1.21
Episode 8,2.9,4.13,,2.93,4.36,,,2.2,,1.52,1.21,1.1,2.06,1.08,1.29,,1.12
Episode 9,2.46,3.98,,2.65,4.37,,,2.11,,1.33,,1.09,2.37,1.7,1.18,,1.22
Episode 10,2.0,3.24,,2.28,4.69,,,1.89,,1.2,,1.08,2.19,1.32,,,1.15
Episode 11,1.39,2.61,,,4.92,,,1.59,,,,1.05,1.9,1.02,,,1.02
Episode 12,1.41,2.74,,,4.81,,,1.63,,,,1.11,1.78,1.24,,,
Episode 13,,2.38,,,4.91,,,1.17,,,,1.05,1.4,1.02,,,
Finale,,,,,,,,,,,,,,,,,
