Episode,Roark,Ryan,Chrissy,Ali,Ben,Jessica,Lauren,Devon,Mike,Joe,Ashley,JP
Premiere,4.01,3.91,3.89,3.68,3.56,,,,,,,
Episode 2,3.03,3.74,4.51,,,,,,,,,
Episode 3,,3.77,4.39,4.26,4,3.21,,,,,,
Episode 4,,3.42,4.7,4.13,3.78,3.47,3.13,,,,,
Episode 5,,3.11,3.8,3.8,4.16,3.81,3.24,,,,,
Episode 6,,,4.43,,3.99,3.47,3.35,,,,,
Episode 7,,,3.85,,4.1,,3.08,3.4,2.96,,,
Episode 8,,2.65,3.76,,2.95,,3.87,3.93,2.96,,,
Episode 9,,2.4,3.79,,2.58,,3.98,4.09,2.32,2.07,1.74,1.15
Episode 10,,1.8,2.86,,3.3,,4.43,4.29,2.04,,2.16,
Episode 11,,1.68,2.73,,3.18,,4.29,4.18,1.92,,2.06,
Episode 12,,1.69,3.27,,3.23,,,4.14,2.38,,1.82,
Episode 13,,1.64,3.88,,3.39,,,3.52,2.18,,,
Finale,,,,,,,,,,,,
