Season,name,Rank,Vote Out
Island of the Idols,Tommy,1,FTC
Island of the Idols,Dean,2,FTC
Island of the Idols,Noura,3,FTC
Island of the Idols,Lauren,4,Finale
Island of the Idols,Janet,5,Finale
Island of the Idols,Dan,6,Episode 13
Island of the Idols,Elaine,7,Episode 13
Island of the Idols,Karishma,8,Episode 12
Island of the Idols,Elizabeth,9,Episode 11
Island of the Idols,Missy,10,Episode 10
Island of the Idols,Aaron,11,Episode 10
Island of the Idols,Jamal,12,Merge
Island of the Idols,Kellee,13,Merge
Island of the Idols,Jack,14,Episode 7
Island of the Idols,Jason,15,Episode 6
Island of the Idols,Tom,16,Episode 5
Island of the Idols,Chelsea,17,Episode 4
Island of the Idols,Vince,18,Episode 3
Island of the Idols,Molly,19,Episode 2
Island of the Idols,Ronnie,20,Episode 1
EoE,Reem,16,Premiere
EoE,Keith,18,Episode 2
EoE,Chris,,Episode 3
EoE,Rick,,Episode 4
EoE,Aubry,15,Episode 5 and 6
EoE,Wendy,17,Episode 5 and 6
EoE,Joe,14,Episode 7
EoE,Eric,13,Episode 8
EoE,Julia,12,Episode 9
EoE,David,11,Episode 10
EoE,Kelley,10,Episode 10
EoE,Wardog,9,Episode 11
EoE,Ron,8,Episode 12
EoE,Aurora,7,Episode 13
EoE,Victoria,6,Finale
EoE,Lauren,5,Finale
EoE,Rick,4,Finale
EoE,Julie,3,FTC
EoE,Gavin,2,FTC
EoE,Chris,1,FTC
DvG,Pat,20,Premiere
DvG,Jessica Peet,19,Episode 2
DvG,Jeremy Crawford,18,Episode 3
DvG,Bi Nguyen,17,Episode 4
DvG,Natalia Azoqa,16,Episode 4
DvG,Natalie Cole,15,Episode 5
DvG,Lyrsa Torres,14,Episode 6
DvG,Elizabeth Olson,13,Merge
DvG,John Hennigan,12,Episode 8
DvG,Dan Rengering,11,Episode 9
DvG,Alec Merlino,10,Episode 10 and 11
DvG,Carl Boudreaux,9,Episode 10 and 11
DvG,Gabby Pascuzzi,8,Episode 11
DvG,Christian Hubicki,7,Episode 12
DvG,Davie Rickenbacker,6,Finale
DvG,Alison Raybould,5,Finale
DvG,Kara Kay,4,Finale
DvG,Angelina Keeley,3,FTC
DvG,Mike White,2,FTC
DvG,Nick Wilson,1,FTC
Ghost Island,Gonzalez,20,Premiere
Ghost Island,Jacob,19,Premiere
Ghost Island,Morgan,18,Episode 3
Ghost Island,Brendan,17,Episode 4
Ghost Island,Stephanie,16,Episode 5
Ghost Island,James,15,Episode 6
Ghost Island,Bradley,14,Episode 7
Ghost Island,Chris,13,Episode 8
Ghost Island,Libby,12,Episode 9
Ghost Island,Desiree,11,Episode 10
Ghost Island,Jenna,10,Episode 10
Ghost Island,Michael,9,Episode 11
Ghost Island,Chelsea,8,Episode 12
Ghost Island,Kellyn,7,Episode 13
Ghost Island,Sebastian,6,Finale
Ghost Island,Donathan,5,Finale
Ghost Island,Angela,4,Finale
Ghost Island,Laurel,3,FTC
Ghost Island,Domenick,2,FTC
Ghost Island,Wendell,1,FTC
HHH,Katrina,18,Premiere
HHH,Simone,17,Episode 2
HHH,Patrick,16,Episode 3
HHH,Alan,15,Episode 4
HHH,Roark,14,Episode 5
HHH,Ali,13,Episode 6
HHH,Jessica,12,Episode 7
HHH,Desi,11,Episode 8
HHH,Cole,10,Episode 9
HHH,JP,9,Episode 10 and 11
HHH,Joe,8,Episode 10 and 12
HHH,Lauren,7,Episode 12
HHH,Ashley,6,Episode 13
HHH,Mike,5,Finale
HHH,Devon,4,Finale
HHH,Ryan,3,FTC
HHH,Chrissy,2,FTC
HHH,Ben,1,FTC
