season,season_name,rank,word,sentiment
1.0,Borneo,0.0,borneo,neutral
1.0,Borneo,1.0,different,neutral
1.0,Borneo,2.0,the first,positive
1.0,Borneo,3.0,order,neutral
1.0,Borneo,4.0,in order,neutral
1.0,Borneo,5.0,go to,neutral
1.0,Borneo,6.0,television,neutral
1.0,Borneo,7.0,start with,neutral
1.0,Borneo,8.0,even if you,neutral
1.0,Borneo,9.0,go to watch,neutral
1.0,Borneo,10.0,watch borneo,neutral
1.0,Borneo,11.0,know,neutral
1.0,Borneo,12.0,watch in order,neutral
1.0,Borneo,13.0,early,neutral
1.0,Borneo,14.0,first season,positive
1.0,Borneo,15.0,want,neutral
1.0,Borneo,16.0,every season,neutral
1.0,Borneo,17.0,watch every season,neutral
1.0,Borneo,18.0,watch in,neutral
1.0,Borneo,19.0,other season,negative
1.0,Borneo,20.0,come,neutral
1.0,Borneo,21.0,watch every,neutral
1.0,Borneo,22.0,watch it,neutral
1.0,Borneo,23.0,where it all,neutral
1.0,Borneo,24.0,the original survivor,positive
1.0,Borneo,25.0,mustwatch,neutral
2.0,"Australian
Outback",0.0,borneo,neutral
2.0,"Australian
Outback",1.0,australia,neutral
2.0,"Australian
Outback",2.0,outback,neutral
2.0,"Australian
Outback",3.0,australian,neutral
2.0,"Australian
Outback",4.0,oldschool,neutral
2.0,"Australian
Outback",5.0,australian outback,neutral
2.0,"Australian
Outback",6.0,they fight,neutral
2.0,"Australian
Outback",7.0,best episode,very positive
2.0,"Australian
Outback",8.0,the first,positive
2.0,"Australian
Outback",9.0,the best episode,very positive
2.0,"Australian
Outback",10.0,villain,neutral
2.0,"Australian
Outback",11.0,nature,neutral
2.0,"Australian
Outback",12.0,slow,negative
2.0,"Australian
Outback",13.0,they fight the,neutral
2.0,"Australian
Outback",14.0,fight the,neutral
2.0,"Australian
Outback",15.0,return,neutral
2.0,"Australian
Outback",16.0,iconic,very positive
2.0,"Australian
Outback",17.0,important,positive
2.0,"Australian
Outback",18.0,drag,negative
2.0,"Australian
Outback",19.0,old school,neutral
2.0,"Australian
Outback",20.0,survivor australia,neutral
2.0,"Australian
Outback",21.0,school,neutral
2.0,"Australian
Outback",22.0,favorite,very positive
2.0,"Australian
Outback",23.0,survival,neutral
2.0,"Australian
Outback",24.0,want,neutral
2.0,"Australian
Outback",25.0,postmerge,neutral
3.0,Africa,0.0,africa,neutral
3.0,Africa,1.0,location,neutral
3.0,Africa,2.0,the location,neutral
3.0,Africa,3.0,reward,neutral
3.0,Africa,4.0,kenya,neutral
3.0,Africa,5.0,australia,neutral
3.0,Africa,6.0,favorite,very positive
3.0,Africa,7.0,the first,positive
3.0,Africa,8.0,tribe,neutral
3.0,Africa,9.0,africa the,neutral
3.0,Africa,10.0,early,neutral
3.0,Africa,11.0,survival,neutral
3.0,Africa,12.0,setting,neutral
3.0,Africa,13.0,borneo,neutral
3.0,Africa,14.0,lion,neutral
3.0,Africa,15.0,the reward,neutral
3.0,Africa,16.0,wildlife,neutral
3.0,Africa,17.0,awesome,very positive
3.0,Africa,18.0,th character,neutral
3.0,Africa,19.0,best reward,very positive
3.0,Africa,20.0,brutal,very negative
3.0,Africa,21.0,the th,neutral
3.0,Africa,22.0,location and,neutral
3.0,Africa,23.0,the first ever,positive
3.0,Africa,24.0,twist,neutral
3.0,Africa,25.0,early season,neutral
4.0,Marquesas,0.0,marquesas,neutral
4.0,Marquesas,1.0,marq,neutral
4.0,Marquesas,2.0,the first,positive
4.0,Marquesas,3.0,climax,neutral
4.0,Marquesas,4.0,borneo,neutral
4.0,Marquesas,5.0,story,neutral
4.0,Marquesas,6.0,important,positive
4.0,Marquesas,7.0,season marquesas,neutral
4.0,Marquesas,8.0,revolutionary,neutral
4.0,Marquesas,9.0,marquesas have,neutral
4.0,Marquesas,10.0,path,neutral
4.0,Marquesas,11.0,happen,neutral
4.0,Marquesas,12.0,set the stage,neutral
4.0,Marquesas,13.0,the stage,neutral
4.0,Marquesas,14.0,most important,positive
4.0,Marquesas,15.0,set,neutral
4.0,Marquesas,16.0,africa,neutral
4.0,Marquesas,17.0,early,neutral
4.0,Marquesas,18.0,marquesas the,neutral
4.0,Marquesas,19.0,context,neutral
4.0,Marquesas,20.0,major,neutral
4.0,Marquesas,21.0,know,neutral
4.0,Marquesas,22.0,stage,neutral
4.0,Marquesas,23.0,critical,neutral
4.0,Marquesas,24.0,chronology,neutral
4.0,Marquesas,25.0,in survivor,neutral
5.0,Thailand,0.0,thailand,neutral
5.0,Thailand,1.0,thailand have,neutral
5.0,Thailand,2.0,winner,neutral
5.0,Thailand,3.0,survivor thailand,neutral
5.0,Thailand,4.0,the first,positive
5.0,Thailand,5.0,dark,negative
5.0,Thailand,6.0,the winner,neutral
5.0,Thailand,7.0,maybe you,neutral
5.0,Thailand,8.0,it not,neutral
5.0,Thailand,9.0,that thailand,neutral
5.0,Thailand,10.0,have some,neutral
5.0,Thailand,11.0,except for the,neutral
5.0,Thailand,12.0,of the first,positive
5.0,Thailand,13.0,worth,positive
5.0,Thailand,14.0,out on if,neutral
5.0,Thailand,15.0,unlikable,neutral
5.0,Thailand,16.0,first bad season,negative
5.0,Thailand,17.0,first bad,negative
5.0,Thailand,18.0,illustrate,neutral
5.0,Thailand,19.0,watch it,neutral
5.0,Thailand,20.0,thailand fan,neutral
5.0,Thailand,21.0,maybe you will,neutral
5.0,Thailand,22.0,least,negative
5.0,Thailand,23.0,and set,neutral
5.0,Thailand,24.0,on if,neutral
5.0,Thailand,25.0,on if you,neutral
6.0,The Amazon,0.0,amazon,neutral
6.0,The Amazon,1.0,men,neutral
6.0,The Amazon,2.0,woman,neutral
6.0,The Amazon,3.0,sex,neutral
6.0,The Amazon,4.0,the men,neutral
6.0,The Amazon,5.0,sexist,neutral
6.0,The Amazon,6.0,of the sex,neutral
6.0,The Amazon,7.0,battle of,neutral
6.0,The Amazon,8.0,battle of the,neutral
6.0,The Amazon,9.0,the sex,neutral
6.0,The Amazon,10.0,men vs,neutral
6.0,The Amazon,11.0,the amazon,neutral
6.0,The Amazon,12.0,early,neutral
6.0,The Amazon,13.0,the first,positive
6.0,The Amazon,14.0,men vs woman,neutral
6.0,The Amazon,15.0,vs woman,neutral
6.0,The Amazon,16.0,high school,positive
6.0,The Amazon,17.0,school,neutral
6.0,The Amazon,18.0,old,neutral
6.0,The Amazon,19.0,outdated,negative
6.0,The Amazon,20.0,battle,neutral
6.0,The Amazon,21.0,tribe,neutral
6.0,The Amazon,22.0,well,neutral
6.0,The Amazon,23.0,have not age,neutral
6.0,The Amazon,24.0,young,neutral
6.0,The Amazon,25.0,not age,neutral
7.0,"Pearl
Islands",0.0,pearl,neutral
7.0,"Pearl
Islands",1.0,pearl island,neutral
7.0,"Pearl
Islands",2.0,pirate,neutral
7.0,"Pearl
Islands",3.0,island,neutral
7.0,"Pearl
Islands",4.0,twist,neutral
7.0,"Pearl
Islands",5.0,pirate theme,neutral
7.0,"Pearl
Islands",6.0,the pirate,neutral
7.0,"Pearl
Islands",7.0,the pirate theme,neutral
7.0,"Pearl
Islands",8.0,villain,neutral
7.0,"Pearl
Islands",9.0,hero,neutral
7.0,"Pearl
Islands",10.0,iconic,very positive
7.0,"Pearl
Islands",11.0,pi,neutral
7.0,"Pearl
Islands",12.0,the twist,neutral
7.0,"Pearl
Islands",13.0,about pearl,neutral
7.0,"Pearl
Islands",14.0,about pearl island,neutral
7.0,"Pearl
Islands",15.0,watch it,neutral
7.0,"Pearl
Islands",16.0,most iconic,very positive
7.0,"Pearl
Islands",17.0,pearl island the,neutral
7.0,"Pearl
Islands",18.0,amaze,neutral
7.0,"Pearl
Islands",19.0,perfect,very positive
7.0,"Pearl
Islands",20.0,challenge,neutral
7.0,"Pearl
Islands",21.0,season of,neutral
7.0,"Pearl
Islands",22.0,some season have,neutral
7.0,"Pearl
Islands",23.0,the most iconic,very positive
7.0,"Pearl
Islands",24.0,premiere,neutral
7.0,"Pearl
Islands",25.0,best season,very positive
8.0,All-Stars,0.0,allstars,neutral
8.0,All-Stars,1.0,dark,negative
8.0,All-Stars,2.0,the first,positive
8.0,All-Stars,3.0,tragedy,neutral
8.0,All-Stars,4.0,all star,neutral
8.0,All-Stars,5.0,come,neutral
8.0,All-Stars,6.0,dark season,negative
8.0,All-Stars,7.0,of allstars,neutral
8.0,All-Stars,8.0,star,neutral
8.0,All-Stars,9.0,allstars not,neutral
8.0,All-Stars,10.0,uncomfortable,very negative
8.0,All-Stars,11.0,know,neutral
8.0,All-Stars,12.0,seven season,neutral
8.0,All-Stars,13.0,bitter jury,negative
8.0,All-Stars,14.0,seven,neutral
8.0,All-Stars,15.0,everyone,neutral
8.0,All-Stars,16.0,ugly,very negative
8.0,All-Stars,17.0,favorite,very positive
8.0,All-Stars,18.0,that it,neutral
8.0,All-Stars,19.0,want,neutral
8.0,All-Stars,20.0,least,negative
8.0,All-Stars,21.0,bitter,negative
8.0,All-Stars,22.0,dark and,negative
8.0,All-Stars,23.0,first season,positive
8.0,All-Stars,24.0,return player,neutral
8.0,All-Stars,25.0,look,neutral
9.0,Vanuatu,0.0,vanuatu,neutral
9.0,Vanuatu,1.0,slow,negative
9.0,Vanuatu,2.0,volcano,neutral
9.0,Vanuatu,3.0,woman,neutral
9.0,Vanuatu,4.0,well,neutral
9.0,Vanuatu,5.0,favorite,very positive
9.0,Vanuatu,6.0,burn,neutral
9.0,Vanuatu,7.0,story,neutral
9.0,Vanuatu,8.0,the first,positive
9.0,Vanuatu,9.0,slow burn,negative
9.0,Vanuatu,10.0,vanuatu have,neutral
9.0,Vanuatu,11.0,definitely one that,neutral
9.0,Vanuatu,12.0,get well,neutral
9.0,Vanuatu,13.0,build,neutral
9.0,Vanuatu,14.0,vs woman,neutral
9.0,Vanuatu,15.0,men vs,neutral
9.0,Vanuatu,16.0,men vs woman,neutral
9.0,Vanuatu,17.0,postmerge,neutral
9.0,Vanuatu,18.0,merge,neutral
9.0,Vanuatu,19.0,ftc,neutral
9.0,Vanuatu,20.0,vanuatu get,neutral
9.0,Vanuatu,21.0,get well it,neutral
9.0,Vanuatu,22.0,very very,positive
9.0,Vanuatu,23.0,winner,neutral
9.0,Vanuatu,24.0,the premerge,neutral
9.0,Vanuatu,25.0,few episode,negative
10.0,Palau,0.0,palau,neutral
10.0,Palau,1.0,dark,negative
10.0,Palau,2.0,military,negative
10.0,Palau,3.0,unique,positive
10.0,Palau,4.0,challenge,neutral
10.0,Palau,5.0,favorite,very positive
10.0,Palau,6.0,military theme,negative
10.0,Palau,7.0,story,neutral
10.0,Palau,8.0,winner,neutral
10.0,Palau,9.0,season palau,neutral
10.0,Palau,10.0,brutal,very negative
10.0,Palau,11.0,palau have,neutral
10.0,Palau,12.0,emotional,neutral
10.0,Palau,13.0,military theme that,negative
10.0,Palau,14.0,palau not,neutral
10.0,Palau,15.0,watch it,neutral
10.0,Palau,16.0,absolutely,positive
10.0,Palau,17.0,without,neutral
10.0,Palau,18.0,not fun season,negative
10.0,Palau,19.0,compelling,positive
10.0,Palau,20.0,the military,negative
10.0,Palau,21.0,discuss without,neutral
10.0,Palau,22.0,toll on,neutral
10.0,Palau,23.0,to discuss,neutral
10.0,Palau,24.0,my favorite,very positive
10.0,Palau,25.0,spoil,neutral
11.0,Guatemala,0.0,guatemala,neutral
11.0,Guatemala,1.0,palau,neutral
11.0,Guatemala,2.0,watch palau,neutral
11.0,Guatemala,3.0,location,neutral
11.0,Guatemala,4.0,mayan,neutral
11.0,Guatemala,5.0,forgotten,neutral
11.0,Guatemala,6.0,guatemala have,neutral
11.0,Guatemala,7.0,watch palau first,positive
11.0,Guatemala,8.0,palau first,positive
11.0,Guatemala,9.0,return,neutral
11.0,Guatemala,10.0,the forgotten,neutral
11.0,Guatemala,11.0,forgotten season,neutral
11.0,Guatemala,12.0,underrated,neutral
11.0,Guatemala,13.0,return player,neutral
11.0,Guatemala,14.0,sequel,neutral
11.0,Guatemala,15.0,mayan ruin,neutral
11.0,Guatemala,16.0,the forgotten season,neutral
11.0,Guatemala,17.0,sequel to,neutral
11.0,Guatemala,18.0,season palau,neutral
11.0,Guatemala,19.0,from palau,neutral
11.0,Guatemala,20.0,sequel to palau,neutral
11.0,Guatemala,21.0,return player from,neutral
11.0,Guatemala,22.0,it do,neutral
11.0,Guatemala,23.0,to palau,neutral
11.0,Guatemala,24.0,brutal,very negative
11.0,Guatemala,25.0,not watch,neutral
12.0,Panama,0.0,panama,neutral
12.0,Panama,1.0,tribe,neutral
12.0,Panama,2.0,exile island,neutral
12.0,Panama,3.0,exile,neutral
12.0,Panama,4.0,twist,neutral
12.0,Panama,5.0,fuck hilarious,neutral
12.0,Panama,6.0,tribe in,neutral
12.0,Panama,7.0,one tribe,neutral
12.0,Panama,8.0,hilarious,very positive
12.0,Panama,9.0,dysfunctional,neutral
12.0,Panama,10.0,funny,positive
12.0,Panama,11.0,that will keep,neutral
12.0,Panama,12.0,tribe in survivor,neutral
12.0,Panama,13.0,favorite,very positive
12.0,Panama,14.0,all time,neutral
12.0,Panama,15.0,rank,very negative
12.0,Panama,16.0,most likable character,very positive
12.0,Panama,17.0,who widely consider,negative
12.0,Panama,18.0,funny season,positive
12.0,Panama,19.0,will keep you,neutral
12.0,Panama,20.0,will keep,neutral
12.0,Panama,21.0,cirie,neutral
12.0,Panama,22.0,who widely,negative
12.0,Panama,23.0,crazy,very negative
12.0,Panama,24.0,wacky,very positive
12.0,Panama,25.0,contestant,neutral
13.0,Cook Islands,0.0,cook,neutral
13.0,Cook Islands,1.0,cook island,neutral
13.0,Cook Islands,2.0,twist,neutral
13.0,Cook Islands,3.0,ci,neutral
13.0,Cook Islands,4.0,race,neutral
13.0,Cook Islands,5.0,story,neutral
13.0,Cook Islands,6.0,cook islands,neutral
13.0,Cook Islands,7.0,island,neutral
13.0,Cook Islands,8.0,islands,neutral
13.0,Cook Islands,9.0,by race,neutral
