index,season,era,rank,version,new,rank_bottom,top_n,bottom_n,season_nbr
0,Borneo,Classic Era,9.0,1.0,False,16.0,False,False,1
1,Palau,Transitional Era,10.0,1.0,False,14.0,False,False,10
2,Guatemala,Transitional Era,14.0,1.0,False,11.0,False,False,11
3,Panama,Transitional Era,16.0,1.0,False,9.0,False,False,12
4,Cook Islands,Transitional Era,5.0,1.0,False,20.0,True,False,13
5,Fiji,Transitional Era,20.0,1.0,False,5.0,False,True,14
6,China,Golden Age,4.0,1.0,False,21.0,True,False,15
7,Micronesia,Golden Age,2.0,1.0,False,23.0,True,False,16
8,Gabon,Golden Age,8.0,1.0,False,17.0,False,False,17
9,Tocantins,Golden Age,7.0,1.0,False,18.0,True,False,18
10,Samoa,Golden Age,13.0,1.0,False,12.0,False,False,19
11,"Australian
Outback",Classic Era,12.0,1.0,False,13.0,False,False,2
12,"Heroes vs.
Villains",Golden Age,1.0,1.0,False,24.0,True,False,20
13,Nicaragua,Dark Ages,19.0,1.0,False,6.0,False,False,21
14,"Redemption
Island",Dark Ages,24.0,1.0,False,1.0,False,True,22
15,"South
Pacific",Dark Ages,23.0,1.0,False,2.0,False,True,23
16,One World,Dark Ages,21.0,1.0,False,4.0,False,True,24
17,Philippines,Revival Era,,1.0,False,,True,False,25
18,Caramoan,Revival Era,,1.0,False,,False,True,26
19,"Blood vs.
Water",Revival Era,,1.0,False,,False,False,27
20,Cagayan,Revival Era,,1.0,False,,True,False,28
21,"San Juan
del Sur",Revival Era,,1.0,False,,False,False,29
22,Africa,Classic Era,17.0,1.0,False,7.0,False,False,3
23,Worlds Apart,Revival Era,,1.0,False,,False,True,30
24,Cambodia,Meta Era,,1.0,False,,False,False,31
25,Kaôh Rōng,Meta Era,,1.0,False,,True,False,32
26,MvGX,Meta Era,,1.0,False,,True,False,33
27,"Game
Changers",Meta Era,,1.0,False,,False,True,34
28,HvHvH,Meta Era,,1.0,False,,False,False,35
29,Ghost Island,Meta Era,,1.0,False,,False,True,36
30,"David vs.
Goliath",Meta Era,,1.0,False,,True,False,37
31,"Edge of
Extinction",Meta Era,,1.0,False,,False,False,38
32,Marquesas,Classic Era,18.0,1.0,False,8.0,False,False,4
33,Thailand,Classic Era,22.0,1.0,False,3.0,False,True,5
34,The Amazon,Classic Era,6.0,1.0,False,19.0,False,False,6
35,"Pearl
Islands",Classic Era,3.0,1.0,False,22.0,True,False,7
36,All-Stars,Classic Era,11.0,1.0,False,15.0,False,True,8
37,Vanuatu,Transitional Era,15.0,1.0,False,10.0,False,False,9
0,Borneo,Classic Era,12.0,2.0,False,16.0,False,False,1
1,Palau,Transitional Era,15.0,2.0,False,14.0,False,False,10
2,Guatemala,Transitional Era,19.0,2.0,False,10.0,False,False,11
3,Panama,Transitional Era,11.0,2.0,False,18.0,False,False,12
4,Cook Islands,Transitional Era,17.0,2.0,False,11.0,True,False,13
5,Fiji,Transitional Era,23.0,2.0,False,6.0,False,True,14
6,China,Golden Age,3.0,2.0,False,26.0,True,False,15
7,Micronesia,Golden Age,5.0,2.0,False,24.0,True,False,16
8,Gabon,Golden Age,8.0,2.0,False,21.0,False,False,17
9,Tocantins,Golden Age,10.0,2.0,False,19.0,True,False,18
10,Samoa,Golden Age,18.0,2.0,False,12.0,False,False,19
11,"Australian
Outback",Classic Era,16.0,2.0,False,13.0,False,False,2
12,"Heroes vs.
Villains",Golden Age,4.0,2.0,False,25.0,True,False,20
13,Nicaragua,Dark Ages,20.0,2.0,False,9.0,False,False,21
14,"Redemption
Island",Dark Ages,28.0,2.0,False,1.0,False,True,22
15,"South
Pacific",Dark Ages,27.0,2.0,False,2.0,False,True,23
16,One World,Dark Ages,26.0,2.0,False,3.0,False,True,24
17,Philippines,Revival Era,7.0,2.0,True,22.0,True,False,25
18,Caramoan,Revival Era,25.0,2.0,True,4.0,False,True,26
19,"Blood vs.
Water",Revival Era,9.0,2.0,True,20.0,False,False,27
20,Cagayan,Revival Era,1.0,2.0,True,28.0,True,False,28
21,"San Juan
del Sur",Revival Era,,2.0,True,,False,False,29
22,Africa,Classic Era,21.0,2.0,False,8.0,False,False,3
23,Worlds Apart,Revival Era,,2.0,True,,False,True,30
24,Cambodia,Meta Era,,2.0,True,,False,False,31
25,Kaôh Rōng,Meta Era,,2.0,True,,True,False,32
26,MvGX,Meta Era,,2.0,True,,True,False,33
27,"Game
Changers",Meta Era,,2.0,True,,False,True,34
28,HvHvH,Meta Era,,2.0,True,,False,False,35
29,Ghost Island,Meta Era,,2.0,True,,False,True,36
30,"David vs.
Goliath",Meta Era,,2.0,True,,True,False,37
31,"Edge of
Extinction",Meta Era,,2.0,True,,False,False,38
32,Marquesas,Classic Era,14.0,2.0,False,15.0,False,False,4
33,Thailand,Classic Era,24.0,2.0,False,5.0,False,True,5
34,The Amazon,Classic Era,6.0,2.0,False,23.0,False,False,6
35,"Pearl
Islands",Classic Era,2.0,2.0,False,27.0,True,False,7
36,All-Stars,Classic Era,22.0,2.0,False,7.0,False,True,8
37,Vanuatu,Transitional Era,13.0,2.0,False,17.0,False,False,9
0,Borneo,Classic Era,12.0,3.0,False,19.0,False,False,1
1,Palau,Transitional Era,11.0,3.0,False,20.0,False,False,10
2,Guatemala,Transitional Era,19.0,3.0,False,12.0,False,False,11
3,Panama,Transitional Era,7.0,3.0,False,24.0,False,False,12
4,Cook Islands,Transitional Era,20.0,3.0,False,11.0,True,False,13
5,Fiji,Transitional Era,24.0,3.0,False,7.0,False,True,14
6,China,Golden Age,2.0,3.0,False,29.0,True,False,15
7,Micronesia,Golden Age,10.0,3.0,False,21.0,True,False,16
8,Gabon,Golden Age,9.0,3.0,False,22.0,False,False,17
9,Tocantins,Golden Age,4.0,3.0,False,27.0,True,False,18
10,Samoa,Golden Age,23.0,3.0,False,8.0,False,False,19
11,"Australian
Outback",Classic Era,13.0,3.0,False,18.0,False,False,2
12,"Heroes vs.
Villains",Golden Age,5.0,3.0,False,26.0,True,False,20
13,Nicaragua,Dark Ages,21.0,3.0,False,10.0,False,False,21
14,"Redemption
Island",Dark Ages,30.0,3.0,False,1.0,False,True,22
15,"South
Pacific",Dark Ages,27.0,3.0,False,4.0,False,True,23
16,One World,Dark Ages,28.0,3.0,False,3.0,False,True,24
17,Philippines,Revival Era,6.0,3.0,False,25.0,True,False,25
18,Caramoan,Revival Era,29.0,3.0,False,2.0,False,True,26
19,"Blood vs.
Water",Revival Era,17.0,3.0,False,14.0,False,False,27
20,Cagayan,Revival Era,1.0,3.0,False,30.0,True,False,28
21,"San Juan
del Sur",Revival Era,14.0,3.0,True,17.0,False,False,29
22,Africa,Classic Era,15.0,3.0,False,15.0,False,False,3
23,Worlds Apart,Revival Era,22.0,3.0,True,9.0,False,True,30
24,Cambodia,Meta Era,,3.0,True,,False,False,31
25,Kaôh Rōng,Meta Era,,3.0,True,,True,False,32
26,MvGX,Meta Era,,3.0,True,,True,False,33
27,"Game
Changers",Meta Era,,3.0,True,,False,True,34
28,HvHvH,Meta Era,,3.0,True,,False,False,35
29,Ghost Island,Meta Era,,3.0,True,,False,True,36
30,"David vs.
Goliath",Meta Era,,3.0,True,,True,False,37
31,"Edge of
Extinction",Meta Era,,3.0,True,,False,False,38
