season,era,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
Borneo,Classic Era,26.0,28.0,74.0,149.0,158.0,187.0,137.0,140.0,188
Palau,Transitional Era,25.0,19.0,84.0,130.0,150.0,143.0,91.0,132.0,157
Guatemala,Transitional Era,9.0,14.0,41.0,62.0,72.0,88.0,57.0,83.0,112
Panama,Transitional Era,7.0,33.0,116.0,128.0,160.0,208.0,159.0,168.0,211
Cook Islands,Transitional Era,46.0,16.0,30.0,44.0,44.0,97.0,68.0,78.0,110
Fiji,Transitional Era,2.0,9.0,10.0,52.0,58.0,43.0,44.0,59.0,49
China,Golden Age,50.0,70.0,240.0,281.0,297.0,351.0,222.0,270.0,296
Micronesia,Golden Age,58.0,58.0,87.0,99.0,158.0,139.0,117.0,169.0,222
Gabon,Golden Age,30.0,39.0,90.0,126.0,142.0,157.0,122.0,141.0,210
Tocantins,Golden Age,32.0,36.0,172.0,230.0,272.0,262.0,194.0,225.0,309
Samoa,Golden Age,12.0,16.0,17.0,23.0,52.0,31.0,38.0,37.0,48
"Australian
Outback",Classic Era,18.0,18.0,68.0,79.0,85.0,84.0,64.0,84.0,106
"Heroes vs.
Villains",Golden Age,61.0,62.0,161.0,136.0,231.0,181.0,147.0,199.0,287
Nicaragua,Dark Ages,3.0,13.0,23.0,63.0,60.0,65.0,37.0,65.0,79
"Redemption
Island",Dark Ages,-18.0,-33.0,-83.0,-73.0,-19.0,-21.0,-24.0,-62.0,-44
"South
Pacific",Dark Ages,-9.0,-20.0,-35.0,10.0,22.0,27.0,30.0,39.0,67
One World,Dark Ages,-6.0,-16.0,-36.0,-35.0,5.0,-6.0,2.0,-20.0,-15
Philippines,Revival Era,,46.0,132.0,233.0,195.0,240.0,185.0,204.0,283
Caramoan,Revival Era,,-7.0,-44.0,-53.0,6.0,5.0,1.0,-9.0,-25
"Blood vs.
Water",Revival Era,,37.0,55.0,54.0,95.0,111.0,98.0,125.0,167
Cagayan,Revival Era,,80.0,254.0,236.0,272.0,260.0,264.0,242.0,338
"San Juan
del Sur",Revival Era,,,62.0,209.0,167.0,151.0,133.0,169.0,258
Africa,Classic Era,5.0,12.0,56.0,81.0,64.0,96.0,69.0,78.0,136
Worlds Apart,Revival Era,,,20.0,15.0,9.0,26.0,15.0,33.0,18
Cambodia,Meta Era,,,,130.0,145.0,121.0,91.0,133.0,172
Kaôh Rōng,Meta Era,,,,,251.0,274.0,236.0,221.0,259
MvGX,Meta Era,,,,,,262.0,152.0,141.0,192
"Game
Changers",Meta Era,,,,,,,2.0,-3.0,-29
HvHvH,Meta Era,,,,,,,,76.0,53
Ghost Island,Meta Era,,,,,,,,10.0,-29
"David vs.
Goliath",Meta Era,,,,,,,,,407
"Edge of
Extinction",Meta Era,,,,,,,,,26
Marquesas,Classic Era,5.0,20.0,47.0,71.0,64.0,81.0,54.0,88.0,136
Thailand,Classic Era,-7.0,3.0,-13.0,-5.0,8.0,17.0,16.0,14.0,-4
The Amazon,Classic Era,33.0,49.0,94.0,100.0,134.0,145.0,104.0,146.0,170
"Pearl
Islands",Classic Era,52.0,73.0,188.0,289.0,266.0,288.0,257.0,252.0,320
All-Stars,Classic Era,25.0,10.0,9.0,9.0,24.0,17.0,8.0,2.0,18
Vanuatu,Transitional Era,8.0,28.0,56.0,107.0,104.0,119.0,73.0,121.0,157
